date	AAPL	SPY	TSLA	AMZN	MSFT	NVDA
2023-10-31	-0.002569841321410471	-0.02170862685821806	-0.19734635377632148	0.046963447626806376	0.07081544790686922	-0.06250727717966831
2023-11-30	0.11378020767974384	0.09134377967675844	0.19537943740621833	0.0976782655173829	0.12294562664691866	0.14688571466543543
2023-12-31	0.01358248970860898	0.04565551427506076	0.03498831153123483	0.04004385139407618	-0.007574438560457808	0.05893425006675379
2024-01-31	-0.04222721452002054	0.015926386296623463	-0.2462572581033916	0.021455801332457725	0.05728112007278008	0.2424175144482701
2024-02-29	-0.018543094216382783	0.05218685306039639	0.07790064669600238	0.1389175127740745	0.04231845391203004	0.28580961383868764
2024-03-31	-0.051286376683144064	0.032702084367585815	-0.12923524353897475	0.020479805886374214	0.01711629006203319	0.142181143272341
2024-04-30	-0.006706317788891303	-0.04031979062578184	0.042607689739043275	-0.029825949313549094	-0.07461031490337477	-0.04376027902348534
2024-05-31	0.1302221921064548	0.050579763241138886	-0.02837187354253501	0.00822858537946436	0.06819106439339873	0.26887108088361367
2024-06-30	0.09555268340620593	0.03528010238526291	0.11118599982126098	0.09527316552932019	0.07665067066350328	0.12694308219401718
2024-07-31	0.054410857279600044	0.012109151894954095	0.17278149180183244	-0.032445041513381456	-0.06398926671137495	-0.052776515145431024
2024-08-31	0.03235348509861469	0.023365467905647863	-0.0773904690267696	-0.045352422298136075	-0.0010951369484436535	0.020082108099932716
2024-09-30	0.017467340990603875	0.021004700867818693	0.22194201175563144	0.043865556476496925	0.031548120220337816	0.01742803138700255
2024-10-31	-0.030429263422064645	-0.008923456825649323	-0.045025412068364745	0.0003756349741959042	-0.05565879876258695	0.09321479744708316
2024-11-30	0.05170692422492418	0.059633408203408456	0.3814688622385136	0.1152897328156477	0.044192530343959646	0.0413528406323993
2024-12-31	0.055155291044891586	-0.024060181740644615	0.17000808915631316	0.05531771626226978	-0.0046285869646817135	-0.028576882153825034
2025-01-31	-0.05758324593089459	0.026856310796173677	0.0018819576379678349	0.08336748865953902	-0.015278788587817393	-0.10589023649201901
2025-02-28	0.02587240700071991	-0.012694776777301908	-0.2758773935575025	-0.10686635257151178	-0.041618070197747215	0.04039306589811753
2025-03-31	-0.0815001347836245	-0.05571919842012785	-0.11543452131892018	-0.10373094214756728	-0.05440933445104257	-0.132324908063841
2025-04-30	-0.043353014323267214	-0.008670139114213993	0.08874826236685496	-0.030694820280155244	0.05293158280475718	0.004982471519607401
2025-05-31	-0.05358406523857118	0.06284494761614745	0.2278848417863253	0.1116473080052216	0.16683985530871492	0.24063535721768625
2025-06-30	0.021508544579914135	0.05138613494267763	-0.08312644606383923	0.07014294555445666	0.08048057152578059	0.16925162601006294
2025-07-31	0.011697684229461824	0.023031548217528286	-0.02955995259140498	0.06709513314943605	0.07255576181506562	0.12583067873165943
2025-08-31	0.11963891074454747	0.020519507582030583	0.08304410748975077	-0.021827348669553825	-0.048691700401007454	-0.02074550257324248
